group,age
Kra-Dai,5.741455044991551
Kam-Tai,4.9646281175744456
Tai-Yay,3.072419926583934
Kra-Dai,7.8952031377499825
Kam-Tai,4.35154993410641
Tai-Yay,1.9921263141397016
Kra-Dai,11.72244297351517
Kam-Tai,4.398865721349111
Tai-Yay,1.9809248687568193
Kra-Dai,7.19294253641218
Kam-Tai,3.5183128343409167
Tai-Yay,1.904578952117057
Kra-Dai,4.070404991121144
Kam-Tai,2.4075381798958757
Tai-Yay,1.6465554074653417
Kra-Dai,5.834882341037737
Kam-Tai,2.79654346531053
Tai-Yay,1.767503506780045
Kra-Dai,5.3399768888597805
Kam-Tai,2.79124101828172
Tai-Yay,2.087863589423459
Kra-Dai,4.557772019966524
Kam-Tai,3.2428318690670777
Tai-Yay,1.546166363863557
Kra-Dai,5.570308583187224
Kam-Tai,2.3175715483827855
Tai-Yay,1.8491054838554266
Kra-Dai,4.238474510744427
Kam-Tai,3.0356883191360295
Tai-Yay,1.8932403527545008
Kra-Dai,5.261954605232667
Kam-Tai,3.1437842359000583
Tai-Yay,2.005375882566264
Kra-Dai,4.918749795772445
Kam-Tai,3.868544207373949
Tai-Yay,2.2119185566281216
Kra-Dai,5.073117885084505
Kam-Tai,3.360134563631847
Tai-Yay,2.425361219606934
Kra-Dai,3.7514009290634744
Kam-Tai,3.373715469004981
Tai-Yay,2.020934162992026
Kra-Dai,4.83356411253699
Kam-Tai,2.644042346474404
Tai-Yay,1.9500942386194091
Kra-Dai,5.546732225438382
Kam-Tai,3.337824465240686
Tai-Yay,2.208059293597882
Kra-Dai,3.8915449146119316
Kam-Tai,2.9249256370076626
Tai-Yay,2.234073780642494
Kra-Dai,5.547783894452065
Kam-Tai,4.358671741432667
Tai-Yay,2.272035777571057
Kra-Dai,5.5755815666226
Kam-Tai,4.468635955355922
Tai-Yay,3.6086264989247074
Kra-Dai,5.298859471041056
Kam-Tai,2.6378832146054094
Tai-Yay,2.2580725123445182
Kra-Dai,7.432460982245275
Kam-Tai,2.1460791132009733
Tai-Yay,1.7849225601805356
Kra-Dai,3.8495754264918323
Kam-Tai,2.5194226477022514
Tai-Yay,1.9391124259844272
Kra-Dai,4.998177571075613
Kam-Tai,2.538699020424392
Tai-Yay,2.257061366625957
Kra-Dai,5.920065729465691
Kam-Tai,2.5971840866259566
Tai-Yay,1.9205227113047276
Kra-Dai,3.8633749485855846
Kam-Tai,2.4441660543251005
Tai-Yay,1.589153825592562
Kra-Dai,3.987560671856825
Kam-Tai,2.2711823932082287
Tai-Yay,1.8144705145280233
Kra-Dai,3.1931374111692437
Kam-Tai,1.8695831601274127
Tai-Yay,1.452924232571965
Kra-Dai,5.620471538177209
Kam-Tai,3.3099190063066497
Tai-Yay,1.740219814770187
Kra-Dai,3.898020134375769
Kam-Tai,2.7240966793366357
Tai-Yay,2.1866393939510282
Kra-Dai,5.21177674838119
Kam-Tai,2.2605810167446423
Tai-Yay,1.906939573821977
Kra-Dai,6.089538587528974
Kam-Tai,4.557337351884754
Tai-Yay,2.361382382933694
Kra-Dai,3.72794007114619
Kam-Tai,2.0510892917955066
Tai-Yay,1.6101886587861043
Kra-Dai,3.9318835351709973
Kam-Tai,2.5576469273266826
Tai-Yay,2.306001603508272
Kra-Dai,5.498279855804458
Kam-Tai,2.817883729964909
Tai-Yay,1.7634390174959567
Kra-Dai,2.914220926206143
Kam-Tai,2.0154222591466424
Tai-Yay,1.689020122316213
Kra-Dai,3.3495159156895653
Kam-Tai,2.536067785558059
Tai-Yay,1.9543735692058324
Kra-Dai,3.6380487293118686
Kam-Tai,2.142248106373718
Tai-Yay,1.8150916135732131
Kra-Dai,4.638205386832403
Kam-Tai,2.0511464590218407
Tai-Yay,1.6181664311578654
Kra-Dai,4.980989171789158
Kam-Tai,2.6903001257517043
Tai-Yay,1.8241351406587198
Kra-Dai,4.194422764261939
Kam-Tai,2.681770609741623
Tai-Yay,2.11682216488381
Kra-Dai,3.993906303032389
Kam-Tai,2.058142365475334
Tai-Yay,1.487363404117557
Kra-Dai,3.514858580964631
Kam-Tai,3.16845615805088
Tai-Yay,2.0664227040251877
Kra-Dai,3.0718835495663748
Kam-Tai,3.0718835495663748
Tai-Yay,1.6677062474740518
Kra-Dai,6.439270517554496
Kam-Tai,2.2051533564005856
Tai-Yay,1.8213889438401374
Kra-Dai,4.531436017397102
Kam-Tai,2.5889934632514553
Tai-Yay,2.136682772328636
Kra-Dai,7.935818688808467
Kam-Tai,2.370337025201531
Tai-Yay,1.9872791138569337
Kra-Dai,5.657338091751108
Kam-Tai,2.4836088461975385
Tai-Yay,1.74827733307745
Kra-Dai,4.915314185748022
Kam-Tai,2.012689749477113
Tai-Yay,1.4796034233675632
Kra-Dai,5.26119946385293
Kam-Tai,2.000050327566902
Tai-Yay,1.5643169457700976
Kra-Dai,8.01083792474585
Kam-Tai,3.0853508257294626
Tai-Yay,1.825358860520172
Kra-Dai,4.969455702690065
Kam-Tai,4.053218020369076
Tai-Yay,2.5612198828397275
Kra-Dai,3.726118769848588
Kam-Tai,2.106499519310243
Tai-Yay,1.7416563798600577
Kra-Dai,4.370356266517486
Kam-Tai,3.2525326754162385
Tai-Yay,1.5704933125912741
Kra-Dai,7.127569279028603
Kam-Tai,3.7047987457323495
Tai-Yay,3.1294510985340755
Kra-Dai,4.380309195892151
Kam-Tai,2.861973631896748
Tai-Yay,2.0854310480632936
Kra-Dai,3.838419937951065
Kam-Tai,2.785569318933703
Tai-Yay,1.8400591590796618
Kra-Dai,4.813948385084285
Kam-Tai,2.6418756464391238
Tai-Yay,2.105658425779009
Kra-Dai,4.437157756446783
Kam-Tai,3.042215614638856
Tai-Yay,2.4122029496427007
Kra-Dai,2.6238851852391316
Kam-Tai,1.791278329983263
Tai-Yay,1.5056968059264006
Kra-Dai,3.1587786718519184
Kam-Tai,3.1587786718519184
Tai-Yay,2.065452920143351
Kra-Dai,5.269343418544378
Kam-Tai,3.462181585307432
Tai-Yay,1.9256958413765082
Kra-Dai,5.9358419723207865
Kam-Tai,2.421644784369655
Tai-Yay,1.6642656036618
Kra-Dai,5.2217801885163695
Kam-Tai,1.943548478390655
Tai-Yay,1.4336621066054152
Kra-Dai,4.4136401803193985
Kam-Tai,2.849987213629542
Tai-Yay,1.8436291824687991
Kra-Dai,4.209910767355042
Kam-Tai,2.553155268287262
Tai-Yay,1.9580672151471177
Kra-Dai,3.6544212623720407
Kam-Tai,3.1656414484535285
Tai-Yay,1.6925091475879939
Kra-Dai,5.443358683105439
Kam-Tai,2.5839404240110144
Tai-Yay,2.0702191176771874
Kra-Dai,3.2682348198606963
Kam-Tai,2.657248106026681
Tai-Yay,2.092105394524049
Kra-Dai,5.94070470840706
Kam-Tai,2.8276059226995875
Tai-Yay,2.2876898627961
Kra-Dai,5.077001131313814
Kam-Tai,3.034168313397528
Tai-Yay,2.0580423725061934
Kra-Dai,2.961918724897493
Kam-Tai,1.851541976884458
Tai-Yay,1.4375092290574667
Kra-Dai,2.9464063738956865
Kam-Tai,2.6244076642339667
Tai-Yay,2.0336963300676394
Kra-Dai,3.6425783521295916
Kam-Tai,2.553059820235938
Tai-Yay,2.008697827840914
Kra-Dai,3.5966244176780267
Kam-Tai,2.0483218664215173
Tai-Yay,1.8240761326450485
Kra-Dai,5.329680857069004
Kam-Tai,3.2194572276019184
Tai-Yay,1.7071153206859648
Kra-Dai,6.2591868988726365
Kam-Tai,1.8489810864750416
Tai-Yay,1.5710004038234757
Kra-Dai,5.120186750603369
Kam-Tai,3.802990008197284
Tai-Yay,2.1773559772556923
Kra-Dai,5.815901292806741
Kam-Tai,3.8238692909421337
Tai-Yay,2.2181392865259615
Kra-Dai,6.909562231666311
Kam-Tai,3.0143661385136733
Tai-Yay,1.8639171412212265
Kra-Dai,8.669676212105815
Kam-Tai,2.8620416411723735
Tai-Yay,1.8707292920567937
Kra-Dai,7.978554018789224
Kam-Tai,2.347981204959855
Tai-Yay,1.9961867892374725
Kra-Dai,3.1984417535402545
Kam-Tai,1.9184708023524444
Tai-Yay,1.325933300137948
Kra-Dai,3.441203503423894
Kam-Tai,2.181633245608232
Tai-Yay,1.895785953693801
Kra-Dai,4.4488770675706855
Kam-Tai,2.7406248487887233
Tai-Yay,2.0541587783155824
Kra-Dai,6.162619550723076
Kam-Tai,4.435151937621032
Tai-Yay,2.2431608502320297
Kra-Dai,3.881402227863979
Kam-Tai,3.0680846310124372
Tai-Yay,1.703127982154582
Kra-Dai,5.5007055558398
Kam-Tai,2.932837371264776
Tai-Yay,2.3307425440704255
Kra-Dai,8.984595457107444
Kam-Tai,5.7330597564860915
Tai-Yay,2.546927518641235
Kra-Dai,5.500775514459802
Kam-Tai,4.182634439249954
Tai-Yay,2.373059810462474
Kra-Dai,8.563575463232446
Kam-Tai,5.523800425562873
Tai-Yay,2.827545417922887
Kra-Dai,6.651502944281547
Kam-Tai,2.132387994818565
Tai-Yay,1.8493012301865255
Kra-Dai,6.954887539877527
Kam-Tai,4.1946115373900055
Tai-Yay,2.365946161321375
Kra-Dai,6.14638261849956
Kam-Tai,4.135605181465524
Tai-Yay,2.749415547361204
Kra-Dai,5.9493978900565665
Kam-Tai,2.844861699182163
Tai-Yay,1.5368375504228133
Kra-Dai,5.213348299035714
Kam-Tai,2.1643626532178253
Tai-Yay,1.5895672262972287
Kra-Dai,4.5160210397329825
Kam-Tai,3.064751866725316
Tai-Yay,1.7932360641250304
Kra-Dai,5.2520690017006695
Kam-Tai,2.2569854105773275
Tai-Yay,1.9729883031634419
Kra-Dai,4.251072108598325
Kam-Tai,3.0387177755313717
Tai-Yay,2.20540634713357
Kra-Dai,4.322557502816707
Kam-Tai,3.2142367718608646
Tai-Yay,2.2784949865055406
Kra-Dai,5.507852485637382
Kam-Tai,2.6955278581447866
Tai-Yay,2.00973761855185
Kra-Dai,6.752100183107708
Kam-Tai,3.4265269914391117
Tai-Yay,1.8319977122396978
Kra-Dai,9.496129232734313
Kam-Tai,3.644084603526368
Tai-Yay,2.673489777617105
Kra-Dai,10.766253835732638
Kam-Tai,4.261004012434915
Tai-Yay,3.2828934253768587
Kra-Dai,4.7823384131277695
Kam-Tai,2.439523765434857
Tai-Yay,2.030828377251451
Kra-Dai,4.748865804420173
Kam-Tai,2.366412739872369
Tai-Yay,1.698270086143673
Kra-Dai,4.756074841867506
Kam-Tai,3.0910385749411735
Tai-Yay,2.3540412378032727
Kra-Dai,6.775328462368801
Kam-Tai,3.723069747902555
Tai-Yay,1.9371894459146715
Kra-Dai,5.446243084276144
Kam-Tai,3.298295933507698
Tai-Yay,1.8851784280131545
Kra-Dai,3.9575105514116506
Kam-Tai,2.830108436607643
Tai-Yay,1.7907453534117748
Kra-Dai,4.887616067290031
Kam-Tai,2.9627686920867897
Tai-Yay,1.9834045068668749
Kra-Dai,4.904434788847409
Kam-Tai,3.1323514503143435
Tai-Yay,2.1705226684735375
Kra-Dai,5.052614537655876
Kam-Tai,3.2869046947895617
Tai-Yay,1.6644792484376563
Kra-Dai,7.224615341126784
Kam-Tai,3.318464995125776
Tai-Yay,2.6570156043736493
Kra-Dai,5.168805054016711
Kam-Tai,2.4442723504981196
Tai-Yay,2.2157055728476025
Kra-Dai,3.924236198262994
Kam-Tai,2.4788826279530003
Tai-Yay,2.0102042321595306
Kra-Dai,4.108005245565024
Kam-Tai,2.2606921013681283
Tai-Yay,1.637030437594948
Kra-Dai,5.140646802579593
Kam-Tai,3.2760901829978115
Tai-Yay,2.022020086153924
Kra-Dai,7.010425665058616
Kam-Tai,2.253608078642343
Tai-Yay,1.9075376092989025
Kra-Dai,4.355312400761809
Kam-Tai,2.630147103499954
Tai-Yay,1.7994183381725737
Kra-Dai,6.6858584436313215
Kam-Tai,2.5265536406648934
Tai-Yay,2.0376987791935806
Kra-Dai,6.001408384698843
Kam-Tai,3.702500157409625
Tai-Yay,2.207574437573517
Kra-Dai,6.700087505497094
Kam-Tai,6.118895622324534
Tai-Yay,3.034855966246603
Kra-Dai,3.465956337388769
Kam-Tai,2.825527241518645
Tai-Yay,2.2576709462176994
Kra-Dai,5.1608524034425205
Kam-Tai,3.4346707972949484
Tai-Yay,2.000083516477236
Kra-Dai,5.746161363908222
Kam-Tai,3.223707014306965
Tai-Yay,1.7384819300721226
Kra-Dai,4.1422154980909855
Kam-Tai,2.0536796960878063
Tai-Yay,1.5314955217664652
Kra-Dai,4.7798557159685275
Kam-Tai,3.29333264739789
Tai-Yay,2.266117423062674
Kra-Dai,5.993513264221521
Kam-Tai,3.6089257917256465
Tai-Yay,1.9037532889501874
Kra-Dai,6.181382837002301
Kam-Tai,2.573287391850254
Tai-Yay,1.5060722689362223
Kra-Dai,5.031482130971628
Kam-Tai,3.4339075289938346
Tai-Yay,1.7476852298418333
Kra-Dai,8.610645167697783
Kam-Tai,3.8954525969561926
Tai-Yay,3.046439526559147
Kra-Dai,7.296649994175448
Kam-Tai,2.3435224493649294
Tai-Yay,1.7899242396765036
Kra-Dai,6.944514517271281
Kam-Tai,2.9248429572949037
Tai-Yay,2.0532604455088306
Kra-Dai,5.344120673001524
Kam-Tai,2.2219978745462767
Tai-Yay,1.9757233087960362
Kra-Dai,3.094353490186897
Kam-Tai,1.7788124372678018
Tai-Yay,1.2028175415532507
Kra-Dai,5.208161687070037
Kam-Tai,2.6653340149173372
Tai-Yay,1.7446442972004812
Kra-Dai,4.5255149058679365
Kam-Tai,2.61124959983744
Tai-Yay,1.6573443533289272
Kra-Dai,5.967119983975649
Kam-Tai,3.1062836275874597
Tai-Yay,2.2327827536221156
Kra-Dai,5.190307834405262
Kam-Tai,2.5284545626427297
Tai-Yay,2.0438186509127596
Kra-Dai,4.263365406560858
Kam-Tai,3.9683173283205226
Tai-Yay,2.1188463428741326
Kra-Dai,4.04098035189154
Kam-Tai,3.0982920217040957
Tai-Yay,2.146784275558953
Kra-Dai,6.31058186322265
Kam-Tai,3.473475622583716
Tai-Yay,1.8256646416501727
Kra-Dai,6.113894952715978
Kam-Tai,2.999793887794083
Tai-Yay,1.7903933258341471
Kra-Dai,4.789057848168661
Kam-Tai,2.817862897694808
Tai-Yay,1.4244573191115117
Kra-Dai,3.5256018798685025
Kam-Tai,2.306358623156268
Tai-Yay,1.3670859485447018
Kra-Dai,5.851225314375506
Kam-Tai,3.4858607383547753
Tai-Yay,1.7955592956411088
Kra-Dai,7.890761344929384
Kam-Tai,2.444052109082395
Tai-Yay,1.5338076708558512
Kra-Dai,5.62267775920224
Kam-Tai,2.7800469163707096
Tai-Yay,1.9476721078630286
Kra-Dai,6.8776226083733
Kam-Tai,3.9081835237153375
Tai-Yay,1.6849230007519571
Kra-Dai,6.058475354548029
Kam-Tai,2.685780034826759
Tai-Yay,1.7665915447524503
Kra-Dai,5.463705441260527
Kam-Tai,3.74862210255076
Tai-Yay,2.702769133054516
Kra-Dai,5.214554584387171
Kam-Tai,2.344005522145591
Tai-Yay,1.8975284685055493
Kra-Dai,8.934487703093101
Kam-Tai,3.160456567852183
Tai-Yay,2.0563863155052777
Kra-Dai,5.305625436350369
Kam-Tai,2.549238752070964
Tai-Yay,1.9353711422264004
Kra-Dai,4.9756722859851985
Kam-Tai,2.545466380470334
Tai-Yay,1.5740795145292994
Kra-Dai,5.737233437584733
Kam-Tai,2.733291786715788
Tai-Yay,1.7376039823068106
Kra-Dai,3.839329064857658
Kam-Tai,2.545005419702479
Tai-Yay,1.6297247208382042
Kra-Dai,5.494037706925286
Kam-Tai,3.2097375647362765
Tai-Yay,1.976417485357048
Kra-Dai,4.489144661778682
Kam-Tai,2.6613900152573313
Tai-Yay,1.7664927748150658
Kra-Dai,4.823781823195421
Kam-Tai,2.271357974618871
Tai-Yay,1.5754745049016643
Kra-Dai,3.6456107075099777
Kam-Tai,2.298975560239913
Tai-Yay,1.6327848400819938
Kra-Dai,4.957113390181109
Kam-Tai,3.697129306379281
Tai-Yay,2.0185658507689657
Kra-Dai,2.612719284699626
Kam-Tai,2.025613708841124
Tai-Yay,1.7143440192518808
Kra-Dai,3.8887899072156675
Kam-Tai,2.727084522280931
Tai-Yay,1.7381562190475202
Kra-Dai,3.408649475395478
Kam-Tai,2.3157059920448098
Tai-Yay,1.8060712691722367
Kra-Dai,4.533765125502129
Kam-Tai,3.375569718246241
Tai-Yay,2.7002003850674723
Kra-Dai,3.874535985357818
Kam-Tai,3.874535985357818
Tai-Yay,2.666290360846411
Kra-Dai,4.1948913564808485
Kam-Tai,2.76189918050611
Tai-Yay,1.9602083489662574
Kra-Dai,4.896215674485406
Kam-Tai,3.727110683046482
Tai-Yay,2.4646831522758155
Kra-Dai,6.131765782641692
Kam-Tai,3.733338071101137
Tai-Yay,2.6101877022811224
Kra-Dai,5.928994665114649
Kam-Tai,5.334920627203872
Tai-Yay,2.222720180280938
Kra-Dai,7.465315015761135
Kam-Tai,5.000905189622545
Tai-Yay,2.8115432760640697
Kra-Dai,4.739597682118632
Kam-Tai,4.596649194478286
Tai-Yay,2.149213181947108
Kra-Dai,4.863425021862138
Kam-Tai,2.668812675200842
Tai-Yay,1.8997025969423853
Kra-Dai,5.36918425549124
Kam-Tai,3.1938972055230823
Tai-Yay,1.9002441290371168
Kra-Dai,3.7693838282707275
Kam-Tai,2.149098308695637
Tai-Yay,1.4961734189890445
Kra-Dai,3.5828955615844
Kam-Tai,2.0524183106492986
Tai-Yay,1.3882127787784295
Kra-Dai,6.754466063141919
Kam-Tai,2.533220094041228
Tai-Yay,1.497604503798983
Kra-Dai,6.136297894272578
Kam-Tai,3.3578784226901086
Tai-Yay,2.377923174677481
Kra-Dai,6.482305631202835
Kam-Tai,2.063060954022263
Tai-Yay,1.549486368500113
Kra-Dai,6.5892887585988245
Kam-Tai,3.7900675923766722
Tai-Yay,3.0570474654355966
Kra-Dai,4.0215859612827
Kam-Tai,2.8832554756282414
Tai-Yay,1.7894506861905333
Kra-Dai,3.3622375632723536
Kam-Tai,2.280430337426747
Tai-Yay,1.8886749463195645
Kra-Dai,3.749937600096443
Kam-Tai,1.7791773194753608
Tai-Yay,1.4142396288067625
Kra-Dai,2.699128316415337
Kam-Tai,2.1982174399506147
Tai-Yay,1.8361505031781513
Kra-Dai,4.396032109123749
Kam-Tai,2.9881540035536367
Tai-Yay,2.366239354443446
Kra-Dai,4.756795386099889
Kam-Tai,2.651888161637261
Tai-Yay,2.0171588416141293
Kra-Dai,3.6882572584478277
Kam-Tai,2.834572210800007
Tai-Yay,2.247514409812309
Kra-Dai,3.722294477088007
Kam-Tai,2.1648355828898316
Tai-Yay,1.544215424543641
Kra-Dai,4.146582402120477
Kam-Tai,4.146582402120477
Tai-Yay,1.908173611448977
Kra-Dai,3.2831104818699193
Kam-Tai,2.5129750625095486
Tai-Yay,2.286878849901809
Kra-Dai,3.1189511597413944
Kam-Tai,3.1189511597413944
Tai-Yay,2.0415951634233322
Kra-Dai,2.2795478501083455
Kam-Tai,2.040660100007872
Tai-Yay,1.5213780633594243
Kra-Dai,2.6740614339989306
Kam-Tai,2.625915484044862
Tai-Yay,1.7165989986424663
Kra-Dai,2.311973391390396
Kam-Tai,2.083274144986414
Tai-Yay,1.2241698999365596
Kra-Dai,2.563529887758709
Kam-Tai,2.563529887758709
Tai-Yay,1.7810293881816504
Kra-Dai,3.714248854563041
Kam-Tai,3.1321759624720027
Tai-Yay,2.3988431555703165
Kra-Dai,3.6550658990820213
Kam-Tai,2.2322158640629595
Tai-Yay,1.715547812947684
Kra-Dai,4.529719495278296
Kam-Tai,2.3095937852982176
Tai-Yay,1.6029345903339172
Kra-Dai,5.959087842777093
Kam-Tai,4.38246484421692
Tai-Yay,2.34546810793287
Kra-Dai,5.636051421431336
Kam-Tai,3.6798418725589497
Tai-Yay,1.6827459438928916
Kra-Dai,3.757496852129451
Kam-Tai,2.1890242842848258
Tai-Yay,1.4725624062536764
Kra-Dai,3.964224558423295
Kam-Tai,2.6368341167582643
Tai-Yay,1.9518519598791642
Kra-Dai,2.9633229785490984
Kam-Tai,1.7671502226635063
Tai-Yay,1.4261627875769873
Kra-Dai,3.6665743856686683
Kam-Tai,2.829635099564435
Tai-Yay,2.4673487055995666
Kra-Dai,3.3320591594000377
Kam-Tai,2.849688814312656
Tai-Yay,1.413866118767335
Kra-Dai,5.394583254270873
Kam-Tai,2.510165486593264
Tai-Yay,1.7996917094872442
Kra-Dai,6.247314984180816
Kam-Tai,3.2885361017666797
Tai-Yay,2.257762809131955
Kra-Dai,5.9043380832080095
Kam-Tai,4.48326438538096
Tai-Yay,3.571413808860774
Kra-Dai,3.105132034179968
Kam-Tai,2.1716561369486085
Tai-Yay,1.6758944446361872
Kra-Dai,5.88624667306261
Kam-Tai,3.3940413920442043
Tai-Yay,2.0052851717311047
Kra-Dai,4.547827439303865
Kam-Tai,2.6923562674684542
Tai-Yay,2.3621813103007825
Kra-Dai,6.956602040482515
Kam-Tai,4.4199666388701075
Tai-Yay,2.725187915629464
Kra-Dai,3.832402160288493
Kam-Tai,2.3055337492800296
Tai-Yay,1.4666412055195903
Kra-Dai,5.144735546865096
Kam-Tai,2.785236784692226
Tai-Yay,2.144421328148036
Kra-Dai,4.105174285460906
Kam-Tai,3.4353135080266903
Tai-Yay,2.4354068670366167
Kra-Dai,3.243436051834602
Kam-Tai,2.09821944687992
Tai-Yay,1.5843072774271871
Kra-Dai,5.397871976960665
Kam-Tai,4.568185043520457
Tai-Yay,1.9991109293798863
Kra-Dai,6.362486472975424
Kam-Tai,3.8335768181682432
Tai-Yay,2.302351681909353
Kra-Dai,5.21896579895276
Kam-Tai,2.6517653193874584
Tai-Yay,1.5175963350275108
Kra-Dai,4.712888644809408
Kam-Tai,2.382695138207666
Tai-Yay,1.398544947209313
Kra-Dai,7.919863798795556
Kam-Tai,3.0339438187433405
Tai-Yay,1.7587951156589057
Kra-Dai,6.088597897863906
Kam-Tai,2.8389289143621315
Tai-Yay,1.7256642490573446
Kra-Dai,4.6477796962586595
Kam-Tai,2.306431744236212
Tai-Yay,1.44792035549042
Kra-Dai,5.037144416195745
Kam-Tai,3.374497376785514
Tai-Yay,2.1931882802545855
Kra-Dai,6.872888866060907
Kam-Tai,2.692002490536562
Tai-Yay,1.6523456949179733
Kra-Dai,4.042745213541495
Kam-Tai,3.1901660633197597
Tai-Yay,1.809495356007064
Kra-Dai,5.218320895404104
Kam-Tai,2.6971755535822526
Tai-Yay,1.563962868289401
Kra-Dai,4.853434870531931
Kam-Tai,2.3942807668135444
Tai-Yay,1.8314571185371733
Kra-Dai,7.686094438685158
Kam-Tai,3.5560040524746004
Tai-Yay,2.5749813808982367
Kra-Dai,6.158954578781252
Kam-Tai,3.5651101613569236
Tai-Yay,1.8736268117800359
Kra-Dai,3.3655928853873287
Kam-Tai,2.6059169424293565
Tai-Yay,2.2989494619664774
Kra-Dai,3.647672864563593
Kam-Tai,2.339951648653734
Tai-Yay,1.6525945981812016
Kra-Dai,5.405083785450747
Kam-Tai,2.918120921948542
Tai-Yay,1.8790814669990366
Kra-Dai,9.23389632454234
Kam-Tai,3.7101556298597957
Tai-Yay,2.3466193408822225
Kra-Dai,7.781489061798905
Kam-Tai,3.88404601152169
Tai-Yay,2.0643070446767613
Kra-Dai,5.461510650363354
Kam-Tai,2.7541715846066945
Tai-Yay,1.9447744720888132
Kra-Dai,4.036849108442461
Kam-Tai,2.0669311619607122
Tai-Yay,1.7667037007475703
Kra-Dai,8.265187336789637
Kam-Tai,3.144368320155662
Tai-Yay,2.5421219071136534
Kra-Dai,5.888904601688759
Kam-Tai,3.0923719895363675
Tai-Yay,2.1197573102192795
Kra-Dai,4.882233555585658
Kam-Tai,2.4264444847801037
Tai-Yay,1.921863815101922
Kra-Dai,3.640336813903062
Kam-Tai,2.237387057468012
Tai-Yay,1.4261069069976688
Kra-Dai,3.4861113017604892
Kam-Tai,2.5977442729426117
Tai-Yay,2.136657191246255
Kra-Dai,4.019887959375577
Kam-Tai,1.8740899211084905
Tai-Yay,1.4246228983702753
Kra-Dai,4.688636592532608
Kam-Tai,2.764022566584598
Tai-Yay,1.7582707556998058
Kra-Dai,4.865090033037364
Kam-Tai,2.1509158509719364
Tai-Yay,1.7778022230140191
Kra-Dai,5.5717792911775685
Kam-Tai,3.6554251953200683
Tai-Yay,2.615826495748115
Kra-Dai,4.759900217423738
Kam-Tai,2.0087320276012566
Tai-Yay,1.4576840914612506
Kra-Dai,3.0721506630662834
Kam-Tai,1.8925249049538122
Tai-Yay,1.680770423167145
Kra-Dai,5.767247041657871
Kam-Tai,3.1119057519128295
